time,temperature,humidity
2018-09-10T00:00:00.0,10.550012207031273,93.75063458686611
2018-09-10T01:00:00.0,9.450006103515648,96.11455535888669
2018-09-10T02:00:00.0,8.850000000000023,94.76474732211041
2018-09-10T03:00:00.0,8.850000000000023,92.39571891411785
2018-09-10T04:00:00.0,8.350000000000023,92.65597534179689
2018-09-10T05:00:00.0,8.350000000000023,97.26684722017959
2018-09-10T06:00:00.0,7.749993896484398,100.24096679687497
2018-09-10T07:00:00.0,8.850000000000023,96.15776062011722
2018-09-10T08:00:00.0,11.650018310546898,89.15776062011719
2018-09-10T09:00:00.0,13.850000000000023,83.240966796875
2018-09-10T10:00:00.0,16.150018310546898,77.39989471435547
2018-09-10T11:00:00.0,17.749993896484398,69.71286010742188
2018-09-10T12:00:00.0,18.850000000000023,65.09059143066406
2018-09-10T13:00:00.0,19.950006103515648,59.15349578857422
2018-09-10T14:00:00.0,21.150018310546898,55.135379791259766
2018-09-10T15:00:00.0,21.650018310546898,54.90575408935547
2018-09-10T16:00:00.0,21.650018310546898,54.51118087768554
2018-09-10T17:00:00.0,21.150018310546898,56.84416580200193
2018-09-10T18:00:00.0,19.950006103515648,60.28638757830369
2018-09-10T19:00:00.0,18.350000000000023,64.77858734130862
2018-09-10T20:00:00.0,16.650018310546898,70.79413404998992
2018-09-10T21:00:00.0,14.950006103515648,77.34680144855952
2018-09-10T22:00:00.0,13.850000000000023,83.08546447753905
2018-09-10T23:00:00.0,12.749993896484398,86.95739460498534
